interest_rate,unemployment_rate,inflation_rate,gdp_growth_rate,labor_force_participation_rate,consumer_confidence_index,government_debt_to_gdp_ratio,exchange_rate,stock_market_index,housing_price_index,manufacturing_pmi,services_pmi,retail_sales_growth_rate,business_confidence_index,wage_growth_rate,exports_volume,imports_volume,government_revenue,government_spending,business_startups_rate,consumer_spending,investment_rate,savings_rate,tax_revenue,interest_coverage_ratio,bankruptcies_rate,business_closures_rate,consumer_debt_to_income_ratio,government_deficit_to_gdp_ratio
2.7,6.84,-2.58,7.28,55.4,191.56,89.04,1.7507,43373.13,425.59,27.43,80.09,-12.24,100.98,4.4,285067,76600,335829684,15153031,4.69,343403.33,46.04,93.75,449729,78.72,3.72,3.22,105.71,5.75
1.52,19.87,0.74,3.96,44.12,141.08,182.82,2.2409,28355.92,336.3,44.19,26.95,13.45,146.56,4.19,896133,657192,592551063,918308844,88.19,748152.8,92.79,93.17,41496962,62.39,9.97,4.27,457.82,3.51
6.16,0.54,-4.88,1.03,23.98,77.32,112.07,1.1829,32183.66,398.72,72.57,8.3,5.05,78.19,5.51,692571,633778,154337766,142262743,90.14,975779.4,99.97,25.18,63835800,16.68,2.75,4.84,248.99,9.01
7.8,15.14,0.27,-1.31,16.76,62.48,108.67,2.0229,28303.92,119.47,60.72,25.06,13.37,115.69,1.87,603711,364910,490504186,865063416,32.37,546953.76,76.13,71.71,10637857,85.77,3.57,7.05,173.34,0.5
7.3,6.07,-3.61,-8.58,5.79,120.22,162.75,2.3759,47268.75,71.56,28.86,2.29,15.69,13.2,4.69,393760,759475,209900157,676970416,10.94,59624.1,33.77,90.95,96358063,80.14,5.38,3.41,12.55,2.02
5.04,11.91,3.76,-6.4,96.61,15.11,57.2,2.5266,7986.4,436.59,50.88,68.79,-2.32,97.22,8.21,507456,49308,631537051,760855798,53.37,539172.18,9.54,77.46,748287,80.17,6.78,9.73,324.87,1.93
8.22,17.09,0.95,-5.78,61.96,4.63,117.23,2.1772,27394.45,202.38,88.5,32.45,-8.72,27.86,6.06,727017,395909,500969087,12208314,50.03,993643.75,3.55,55.82,39737343,17.21,3.11,7.07,138.62,7.57
5.35,11.11,3.94,6.09,23.57,16.98,186.31,0.307,25762.96,349.32,31.88,23.5,8.9,106.59,2.55,36055,401630,18448767,659669869,65.93,456345.44,68.9,20.58,82103398,31.34,1.04,0.66,389.42,7.82
4.87,9.42,3.65,-6.13,4.78,61.32,28.66,1.2777,35055.71,145.73,12.17,13.93,4.92,163.32,3.14,412970,376671,127772744,178849828,58.8,508504.33,62.47,73.56,15514099,99.37,7.85,9.13,182.83,6.09
8.63,6.06,1.54,-6.5,52.3,19.56,96.67,2.8406,253.26,81.61,44.73,15.64,6.81,139.31,0.37,496086,221699,836467999,422059206,15.67,320376.4,95.57,50.9,80595455,51.68,9.5,4.06,285.57,9.5
4.7,10.14,3.7,6.04,16.19,43.92,163.86,2.4234,873.03,347.03,12.72,62.36,1.25,23.32,3.31,858044,968454,989803158,583812818,1.7,64661.71,14.51,19.15,20365138,52.27,9.64,7.82,136.7,5.71
5.26,15.91,-2.47,-8.72,99.59,73.34,132.16,2.4685,46882.93,132.22,12.2,25.01,16.49,150.56,0.59,774802,240248,47812370,295226836,4.93,956321.51,77.22,67.82,82041466,35.87,2.75,3.43,244.12,2.18
6.83,2.95,-1.62,7.59,2.52,103.04,22.86,0.765,35960.98,91.62,59.53,31.53,14.92,6.39,3.48,84779,342437,461749755,635599193,32.7,772768.82,35.03,83.17,82186778,77.81,3.21,1.94,471.07,1.34
5.91,1.31,-0.48,9.33,88.3,52.87,157.47,0.4432,15298.39,435.25,52.43,22.14,2.47,142.6,8.34,14124,128486,64229195,777734345,76.91,134473.41,95.05,88.69,79683708,35.77,4.73,2.18,23.1,1.87
2.17,7.51,-3.7,-1.2,68.08,176.4,176.67,0.9353,14063.02,311.55,84.12,1.22,-13.78,170.35,4.91,245041,412371,600996482,303940536,82.25,157364.23,20.12,20.68,98737695,69.6,6.39,3.16,148.01,9.63
1.6,9.51,4.51,0.25,73.56,99.47,15.73,2.1271,30540.96,238.83,96.99,3.69,-19.21,8.91,2.14,386866,884767,887602979,351631501,17.73,555580.28,31.44,41.55,88012423,7.38,8.09,5.66,373.24,9.69
8.42,10.6,2.91,0.39,99.55,28.8,141.26,1.2429,44574.35,111.62,71.99,24.79,16.83,142.35,5.23,24081,367160,668431088,956137922,82.07,563306.69,2.01,68.79,54452354,78.21,1.03,2.08,124.52,7.66
5.71,12.09,-4.43,-4.91,28.96,6.66,79.83,2.6848,38606.02,301.08,68.99,1.36,2.29,32.64,0.04,290634,370527,494563660,386404767,94.8,914610.84,50.21,77.12,56656128,83.46,4.74,0.54,469.54,3.36
5.69,14.76,-1.04,1.26,60.53,77.74,86.79,0.2506,49601.44,238.04,10.6,62.32,2.59,27.37,9.12,635983,321402,226257253,652495302,54.38,836661.2,97.31,22.47,52389661,96.36,7.11,0.58,229.46,8.15
0.86,2.19,2.79,-2.05,5.91,167.77,62.41,1.2688,9612.92,467.01,93.31,73.85,-10.17,109.06,7.42,38775,686990,221275421,380791451,26.26,582480.46,26.91,24.17,17524179,95.79,4.42,1.96,372.64,7.28
7.78,17.8,4.98,8.61,53.31,122.28,182.64,0.975,24788.52,467.35,35.94,42.58,-4.15,86.91,7.12,576708,772580,308604655,831735348,56.88,567142.4,20.74,94.14,40010995,78.91,9.43,3.86,377.41,4.51
5.88,19.92,-3.83,-7.93,76.08,42.74,20.33,2.9857,13903.39,434.67,48.5,5.63,-7.97,153.55,0.74,614307,194970,805006627,831025160,66.81,38266.04,88.03,8.3,40139262,82.73,9.46,6.77,86.09,4.65
9.8,0.51,-2.99,9.49,49.47,186.0,181.77,0.0287,2410.53,294.33,95.89,86.11,15.54,56.66,7.15,223886,342446,876421437,550215607,15.74,637732.57,5.64,24.77,55428501,16.98,9.33,1.34,231.65,2.23
2.26,16.27,1.91,7.86,51.94,126.61,66.74,2.1942,15268.06,470.48,73.8,71.78,19.51,9.75,3.6,327294,494183,397515418,403513433,4.73,837931.96,33.16,58.88,29777558,0.85,9.4,2.07,380.71,4.41
9.93,10.25,2.3,-1.01,57.05,3.79,156.04,0.2298,14530.87,219.13,68.57,79.05,-19.33,143.07,7.39,618540,94532,404006922,408049132,2.21,34761.25,87.64,60.36,70956984,71.97,4.89,4.83,193.91,4.0
3.68,15.41,-2.58,-4.17,49.57,64.09,27.95,1.4322,20224.76,174.85,55.41,78.04,16.82,111.43,3.88,865683,418635,792878773,112326323,77.29,372173.19,7.7,8.35,11695776,53.75,8.24,7.05,374.35,8.88
7.32,9.17,1.26,-1.77,94.4,78.63,197.63,1.3856,32461.87,187.3,2.87,43.34,9.8,1.16,8.92,966122,280382,649423297,513717091,15.65,888683.71,50.01,62.93,37727830,69.85,4.24,7.13,106.92,2.6
6.33,5.4,-3.2,8.03,15.85,162.93,57.87,1.75,34705.17,210.9,23.97,53.02,15.36,23.63,7.52,515439,493324,505325835,633485276,74.72,980759.35,99.13,31.02,23902927,45.49,2.6,9.31,80.7,0.56
2.26,0.11,-1.53,4.45,65.96,180.46,147.85,1.8568,31635.7,326.5,89.27,57.0,-12.16,194.28,5.5,66847,804302,754858404,606874584,35.56,965230.14,52.22,31.4,76708060,86.15,6.02,8.33,7.88,7.86
9.85,6.12,-3.71,-9.52,2.14,73.96,174.3,1.661,30450.74,124.42,20.34,45.04,17.32,11.11,5.21,959412,657740,252883000,129001047,18.87,655407.14,66.56,48.57,70868515,23.73,7.11,8.16,69.05,9.26
7.92,14.8,-1.7,9.09,53.67,72.08,44.57,1.3485,47618.03,53.2,14.58,42.43,-2.53,190.5,9.54,362430,227348,250196069,530864638,70.92,730612.09,93.79,5.9,35816008,94.34,2.86,6.9,271.34,8.79
3.45,12.44,1.04,7.23,62.69,103.04,153.23,2.5527,48075.15,308.31,27.24,22.33,4.73,191.91,9.54,547999,251530,847837880,365108117,26.21,189754.06,49.51,21.41,92407208,91.27,2.04,8.5,412.76,8.31
4.3,3.32,3.66,-1.48,1.38,166.96,193.38,2.8174,33901.35,331.25,39.03,2.07,-4.52,195.61,7.79,63223,145886,348553983,723145404,48.28,518865.6,45.55,65.74,44664773,6.61,7.43,8.99,70.19,9.83
1.78,18.17,2.75,4.88,74.6,70.6,125.21,2.1703,27810.66,325.42,52.96,14.75,-6.71,11.24,8.64,150840,568845,867518707,351179660,16.92,461971.38,4.15,0.16,69495156,34.54,8.18,2.32,320.38,9.13
9.68,15.37,1.5,-3.73,93.07,172.2,188.09,2.034,17892.13,244.81,23.86,58.76,-7.22,124.19,6.22,702158,287086,41375534,718665783,42.84,534522.84,32.04,14.44,86269504,86.71,9.55,0.61,107.9,0.53
4.42,2.46,0.79,-7.9,28.98,180.05,149.93,1.1401,35442.39,74.37,49.26,6.34,-19.89,95.1,8.29,603404,724067,634760118,259639933,62.65,689900.99,92.49,63.59,95093544,70.73,5.33,4.03,30.4,9.61
6.59,10.87,-1.03,-2.15,39.93,81.82,143.65,1.6292,44921.86,76.43,70.13,93.08,-1.63,156.59,7.79,135057,160808,939968847,665328277,83.57,631839.37,91.99,57.68,25689738,11.77,3.43,4.02,482.86,5.11
8.78,18.69,-0.44,-4.73,51.17,25.37,117.84,0.8344,31570.86,372.32,21.91,68.2,0.19,128.88,0.04,334852,628767,709443567,828353263,2.68,831500.98,75.95,14.43,39369540,82.58,1.04,1.7,105.89,6.28
0.15,9.14,1.32,-3.01,52.77,173.61,127.71,2.4911,16509.11,157.41,13.48,83.66,-16.19,12.04,7.35,317163,471846,505572553,494415594,9.59,710700.3,77.4,43.09,34496353,23.59,4.11,2.88,160.43,2.29
1.97,19.97,-3.34,-8.06,92.34,19.96,173.63,1.463,11935.74,140.3,96.89,70.51,-0.51,55.3,4.42,312968,263553,586623239,349238294,79.76,169652.03,30.58,8.75,21042517,58.41,9.39,4.52,3.25,1.71
3.84,5.73,-2.03,0.67,12.17,53.23,84.88,1.0212,10066.26,288.46,37.29,75.23,-9.92,158.86,0.42,616663,846855,115952053,36761564,33.04,565487.45,34.94,85.18,81948740,68.78,7.92,1.9,420.42,8.07
5.25,19.1,2.23,7.39,11.12,18.05,70.79,1.033,7083.75,497.19,21.83,32.13,0.7,93.38,8.1,189588,34283,993120702,22241557,96.01,895173.81,54.59,5.11,74947711,68.87,4.02,3.77,114.23,9.45
2.77,7.1,0.2,4.26,48.0,37.57,188.18,1.6773,44261.27,308.95,17.35,4.52,12.2,106.57,4.81,995851,440773,414953558,412635627,81.08,783535.31,82.74,22.39,89874762,60.7,9.73,9.17,350.25,0.56
3.9,18.77,0.83,-5.04,18.39,185.66,86.47,1.9456,24309.23,301.77,89.61,19.32,17.77,128.29,6.11,18448,285363,308676702,427815948,92.5,221962.17,24.7,31.2,39367088,74.38,9.84,3.01,80.79,4.58
0.6,10.84,-3.2,9.31,15.17,195.34,97.08,1.5059,3176.58,478.62,82.02,35.31,-2.03,120.51,8.28,73891,397024,835030252,922076962,40.68,968681.27,35.69,28.71,92036789,74.62,6.97,6.99,376.35,7.43
5.26,2.16,4.29,3.83,87.88,63.45,168.46,2.6749,37375.46,447.7,14.71,43.41,15.65,6.06,4.57,553537,791965,719150305,250848168,77.13,415433.54,46.33,71.3,39770727,44.24,4.46,9.45,444.48,8.37
2.09,18.96,1.1,7.35,13.16,143.35,63.65,1.2628,22794.48,51.73,83.76,78.81,-8.12,3.61,7.78,604627,166656,540087976,126057020,1.26,362551.06,18.05,57.04,66036069,57.32,8.01,4.45,49.17,7.01
3.19,19.49,-3.92,-4.49,83.69,30.19,43.01,0.3542,323.43,373.31,41.0,30.39,3.98,198.5,8.31,224043,565002,660832820,835615,52.2,965504.36,42.09,87.99,58986859,97.09,4.67,9.73,191.77,3.85
3.48,13.09,2.83,1.13,18.96,126.19,105.83,0.5736,39075.22,210.94,98.96,51.34,-6.45,175.87,6.43,453588,499180,776458527,464532359,90.41,217440.56,67.1,20.74,72518860,58.55,9.83,2.36,42.11,1.7
2.61,1.33,-4.93,-6.26,87.32,182.92,142.29,2.9979,43415.79,93.59,52.14,8.43,6.11,59.68,3.32,913160,402977,30222957,345684805,63.73,814122.28,55.67,2.63,9880941,80.39,5.05,5.83,234.32,8.4
5.89,19.33,0.54,-7.63,6.16,108.26,176.68,2.0087,18007.73,385.32,67.76,99.62,18.94,89.99,5.49,755564,914478,459612417,648653113,56.07,841312.77,55.18,79.46,73832580,72.29,0.69,2.42,152.84,8.66
9.84,6.18,2.17,-7.47,40.77,139.46,54.71,0.2237,12867.77,415.5,45.85,49.26,-7.54,107.09,3.14,46551,657582,821929205,941021129,15.84,710906.03,75.24,63.38,28099550,75.49,5.56,3.77,410.8,6.32
